,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
5,10,06: CAJAMARCA,61131152,84728374,101225953,95495284,94749661,
6,10,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,8256978,29031512,8865904,7581938,7951059,
7,10,08: CUSCO,154076354,147238484,144463392,135919882,131615943,
8,10,09: HUANCAVELICA,26007994,33807643,36136247,35217021,36042974,
9,10,10: HUANUCO,32998241,28524816,37130561,34917572,33956967,
10,10,11: ICA,39129617,16694763,18416534,20073474,20094462,
11,10,12: JUNIN,41214887,31181520,34465052,36305335,37770712,
12,10,13: LA LIBERTAD,68699901,72568447,88545833,89727567,87178536,
13,10,14: LAMBAYEQUE,34641055,21890170,23780219,31268773,31784939,
14,10,15: LIMA,84299054,79812336,101884082,80580550,88928098,
15,10,16: LORETO,33908871,19134042,23257698,24618400,22431768,
16,10,17: MADRE DE DIOS,11174534,2463040,3028753,3237979,4601727,
17,10,18: MOQUEGUA,30689514,25524831,23405565,20033337,18890217,
18,10,19: PASCO,24459286,21747590,9964742,8184751,8453658,
19,10,20: PIURA,107474415,93782114,116653090,107652115,103293407,
20,10,21: PUNO,42050017,42217086,50515228,49350278,47995298,
21,10,22: SAN MARTIN,27245106,38217476,39344714,39450111,38847599,
22,10,23: TACNA,35625182,43641675,39801783,26723054,25478312,
23,10,24: TUMBES,12317616,8540175,9937763,9912312,9985558,
24,10,25: UCAYALI,19900743,15029075,16307477,19014843,16588676,
0,11,01: AMAZONAS,11946618,25446863,26738022,20478566,20596088,
1,11,02: ANCASH,129818241,101234075,139744301,106325343,105837567,
2,11,03: APURIMAC,68433666,64676705,57958363,55646656,56953721,
3,11,04: AREQUIPA,108173704,79097670,96569251,80439943,74172404,
4,11,05: AYACUCHO,115366253,58815022,57444281,59348391,60415922,
5,11,06: CAJAMARCA,79090298,85896993,106347646,93289490,92686210,
6,11,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,4692039,6998671,12131467,14882816,13365659,
7,11,08: CUSCO,219170582,190537336,196772682,165491182,152847962,
8,11,09: HUANCAVELICA,34929387,37648444,34982589,32556194,33008858,
9,11,10: HUANUCO,29176937,34407087,41975624,38037104,35779677,
10,11,11: ICA,43352175,26667329,26013344,23975886,23722084,
11,11,12: JUNIN,61031360,64581103,68117110,37101564,39072612,
12,11,13: LA LIBERTAD,79595889,100396355,108137886,91721480,91284988,
13,11,14: LAMBAYEQUE,30374911,41648466,27612551,35271428,33835120,
14,11,15: LIMA,69142018,159818678,130762498,129856714,122856196,
15,11,16: LORETO,17125956,20769886,32506968,24662028,27168018,
16,11,17: MADRE DE DIOS,14062674,6681797,7662212,4722413,4582097,
17,11,18: MOQUEGUA,33640618,26530783,29395298,22729234,21610106,
18,11,19: PASCO,5627913,12021349,34278838,10986759,10993322,
19,11,20: PIURA,101418631,126286552,116743987,113540933,123033460,
20,11,21: PUNO,74184952,42061461,58014048,50757294,51053019,
21,11,22: SAN MARTIN,28995397,36712013,39712802,42263951,41747883,
22,11,23: TACNA,21275844,35962010,54943088,38921266,34549329,
23,11,24: TUMBES,8261206,11171072,8030311,7773889,7799681,
24,11,25: UCAYALI,14467041,20554836,15025337,14928363,15779978,
