,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
3,8,04: AREQUIPA,203791642,357105714,500530781,501856658,483207911,
4,8,05: AYACUCHO,189593152,214883931,309683072,332265871,327522354,
5,8,06: CAJAMARCA,220518816,304786712,564940746,571085170,596372001,
6,8,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,153739280,186441627,343981469,373828675,368372884,
7,8,08: CUSCO,463450095,483193669,604678618,643995229,660531353,
8,8,09: HUANCAVELICA,162745061,165976957,221538862,231508180,240023337,
9,8,10: HUANUCO,107001784,180199084,302762205,302730399,289246121,
10,8,11: ICA,136779005,194178536,246111658,263740608,276122112,
11,8,12: JUNIN,166209365,239167451,437446496,451314199,390262390,
12,8,13: LA LIBERTAD,228914421,201530972,522022071,498701366,519280680,
13,8,14: LAMBAYEQUE,116898648,199748399,321946424,321578417,294706990,
14,8,15: LIMA,1770484070,2383189663,5099913750,8975199018,9439907295,
15,8,16: LORETO,252521771,292467687,413994191,419185727,397683223,
16,8,17: MADRE DE DIOS,60941274,66903726,155714768,157437412,157190412,
17,8,18: MOQUEGUA,95072057,88411550,134022614,145844512,158048038,
18,8,19: PASCO,23351054,90959299,126553991,128134218,130381246,
19,8,20: PIURA,424587774,502827749,604913198,649227939,611120402,
20,8,21: PUNO,260323749,360605922,462099812,477887763,434631416,
21,8,22: SAN MARTIN,104733901,112080997,265072393,270581283,302635413,
22,8,23: TACNA,121305683,126232455,187575503,190398373,185151031,
23,8,24: TUMBES,22853439,39762265,85699295,95578110,94407268,
24,8,25: UCAYALI,136890998,120732975,165895806,173614097,168486672,
25,8,98: EXTERIOR,11422929,16805685,41195541,38443141,39633819,
0,9,01: AMAZONAS,209464833,224978392,228898252,236424194,238738141,
1,9,02: ANCASH,484967462,499096393,618259880,608842631,626527458,
2,9,03: APURIMAC,253450169,297895297,305157507,291812229,286713210,
3,9,04: AREQUIPA,576870372,591778698,704474905,696708780,707842681,
4,9,05: AYACUCHO,271023815,253137925,360083309,371803964,373908669,
5,9,06: CAJAMARCA,377157527,466916158,627268404,655516381,654472850,
6,9,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,166202941,305494359,417584956,405805654,413589943,
7,9,08: CUSCO,813690332,810428183,888644898,973836152,791608059,
8,9,09: HUANCAVELICA,252859475,228926473,261068263,257182165,255658104,
9,9,10: HUANUCO,218167469,304639750,369170294,381112550,388048072,
10,9,11: ICA,246558726,260929150,322983192,332122836,317863031,
11,9,12: JUNIN,287572345,318416549,508014544,513531213,566485013,
12,9,13: LA LIBERTAD,354776698,431082607,618686427,638386138,640655547,
13,9,14: LAMBAYEQUE,326386770,298143228,375494241,402249706,401922936,
